number,answer
1,D
2,B
3,A
4,A
5,C
6,B
7,D
8,C
9,C
10,C
11,C
12,A
13,C
14,D
15,A
16,C
17,A
18,C
19,A
20,C
21,B
22,C
23,D
24,C
25,C
26,D
27,D
28,C
29,A
30,A
31,B
32,C
33,B
34,C
35,A
36,B
37,A
38,C
39,C
40,A
41,C
42,C
43,D
44,C
45,C
46,D
47,C
48,C
49,B
50,C
51,B
52,B
53,B
54,B
55,D
56,C
57,A
58,B
59,D
60,A
61,C
62,B
63,B
64,C
65,B
66,B
67,C
68,C
69,A
70,C
71,A
72,D
73,C
74,D
75,A
76,C
77,D
78,A
79,B
80,A
81,C
82,C
83,D
84,D
85,B
86,B
87,D
88,D
89,B
90,B
91,B
92,A
93,B
94,B
95,A
96,C
97,C
98,B
99,B
100,A
101,A
102,C
103,B
104,A
105,B
106,C
107,D
108,A
109,A
110,A
111,A
112,B
113,A
114,A
115,C
116,C
117,D
118,A
119,C
120,C
