number,answer
1,B
2,B
3,C
4,C
5,C
6,A
7,D
8,C
9,C
10,A
11,C
12,A
13,B
14,B
15,C
16,B
17,A
18,B
19,A
20,C
21,A
22,A
23,A
24,C
25,A
26,D
27,D
28,C
29,A
30,A
31,B
32,C
33,B
34,B
35,A
36,C
37,C
38,B
39,B
40,C
41,C
42,C
43,A
44,A
45,C
46,B
47,A
48,A
49,A
50,B
51,C
52,B
53,D
54,B
55,A
56,A
57,B
58,B
59,B
60,B
61,C
62,B
63,D
64,C
65,B
66,B
67,B
68,C
69,A
70,C
71,A
72,C
73,C
74,A
75,B
76,C
77,C
78,A
79,B
80,A
81,B
82,C
83,D
84,D
85,B
86,B
87,C
88,D
89,B
90,B
91,C
92,A
93,B
94,B
95,A
96,B
97,C
98,A
99,B
100,A
101,A
102,C
103,B
104,A
105,B
106,C
107,A
108,B
109,B
110,A
111,B
112,B
113,A
114,C
115,C
116,B
117,B
118,B
119,D
120,C
