number,answer
1,A
2,B
3,B
4,A
5,A
6,B
7,D
8,B
9,B
10,C
11,B
12,B
13,B
14,A
15,B
16,C
17,B
18,D
19,A
20,B
21,C
22,C
23,D
24,C
25,B
26,C
27,C
28,C
29,B
30,B
31,C
32,B
33,B
34,A
35,A
36,C
37,A
38,B
39,C
40,C
41,C
42,C
43,C
44,C
45,B
46,A
47,C
48,C
49,C
50,D
51,B
52,A
53,B
54,A
55,A
56,A
57,B
58,A
59,C
60,C
61,B
62,C
63,B
64,B
65,B
66,C
67,B
68,B
69,B
70,C
71,B
72,D
73,A
74,A
75,C
76,B
77,B
78,A
79,A
80,B
81,D
82,A
83,B
84,C
85,A
86,C
87,B
88,C
89,B
90,A
91,A
92,B
93,C
94,A
95,A
96,B
97,B
98,C
99,B
100,C
101,C
102,B
103,A
104,C
105,C
106,B
107,B
108,C
109,C
110,B
111,D
112,B
113,A
114,D
115,C
116,C
117,C
118,B
119,B
120,A
