number,answer
1,D
2,C
3,B
4,C
5,D
6,B
7,D
8,D
9,C
10,D
11,C
12,A
13,B
14,D
15,A
16,C
17,D
18,C
19,A
20,D
21,B
22,D
23,D
24,C
25,C
26,D
27,D
28,C
29,A
30,A
31,B
32,C
33,A
34,B
35,A
36,B
37,A
38,C
39,C
40,C
41,C
42,A
43,D
44,C
45,C
46,D
47,C
48,A
49,B
50,A
51,D
52,D
53,D
54,A
55,D
56,C
57,A
58,B
59,D
60,A
61,D
62,B
63,D
64,D
65,D
66,B
67,B
68,C
69,A
70,C
71,A
72,D
73,C
74,A
75,B
76,C
77,C
78,A
79,B
80,A
81,C
82,C
83,ERROR
84,D
85,B
86,B
87,A
88,D
89,B
90,B
91,B
92,D
93,B
94,B
95,A
96,C
97,C
98,B
99,B
100,A
101,A
102,C
103,B
104,A
105,B
106,C
107,D
108,A
109,D
110,A
111,A
112,B
113,A
114,C
115,C
116,B
117,ERROR
118,C
119,D
120,A
