number,answer
1,D
2,D
3,C
4,D
5,B
6,C
7,D
8,C
9,A
10,A
11,A
12,A
13,B
14,D
15,A
16,D
17,A
18,A
19,C
20,B
21,B
22,A
23,B
24,D
25,C
26,B
27,A
28,B
29,C
30,D
31,A
32,D
33,A
34,D
35,B
36,A
37,A
38,A
39,A
40,A
41,B
42,D
43,A
44,A
45,D
46,B
47,A
48,C
49,C
50,B
51,A
52,A
53,A
54,A
55,A
56,A
57,C
58,C
59,B
60,B
61,C
62,D
63,D
64,C
65,B
66,D
67,D
68,A
69,B
70,D
71,C
72,A
73,C
74,D
75,B
76,B
77,B
78,C
79,A
80,A
81,B
82,A
83,A
84,B
85,B
86,A
87,C
88,A
89,A
90,A
91,D
92,B
93,B
94,D
95,D
96,A
97,D
98,B
99,D
100,A
101,B
102,A
103,A
104,B
105,C
106,B
107,C
108,C
109,A
110,B
111,C
112,D
113,C
114,C
115,D
116,A
117,D
118,D
119,D
120,B
