number,answer
1,D
2,D
3,D
4,D
5,A
6,A
7,C
8,C
9,C
10,B
11,A
12,A
13,B
14,B
15,A
16,D
17,A
18,A
19,C
20,D
21,B
22,C
23,B
24,D
25,C
26,A
27,C
28,D
29,C
30,D
31,A
32,D
33,D
34,D
35,D
36,A
37,A
38,A
39,A
40,A
41,B
42,D
43,B
44,A
45,D
46,B
47,B
48,A
49,A
50,A
51,B
52,A
53,B
54,B
55,C
56,C
57,D
58,B
59,A
60,A
61,B
62,C
63,B
64,A
65,A
66,C
67,B
68,D
69,B
70,D
71,C
72,A
73,C
74,D
75,D
76,C
77,B
78,C
79,D
80,D
81,C
82,A
83,A
84,D
85,C
86,D
87,C
88,A
89,A
90,A
91,C
92,C
93,B
94,D
95,D
96,D
97,D
98,B
99,B
100,A
101,B
102,A
103,A
104,B
105,C
106,B
107,C
108,C
109,B
110,B
111,C
112,C
113,C
114,C
115,D
116,C
117,D
118,B
119,D
120,B
