number,answer
1,D
2,B
3,A
4,C
5,B
6,C
7,C
8,B
9,D
10,D
11,B
12,D
13,D
14,C
15,C
16,B
17,B
18,C
19,C
20,B
21,A
22,C
23,C
24,A
25,B
26,D
27,C
28,D
29,B
30,C
31,B
32,A
33,C
34,B
35,A
36,C
37,D
38,A
39,C
40,D
41,D
42,A
43,C
44,A
45,A
46,C
47,A
48,A
49,C
50,A
51,D
52,B
53,A
54,A
55,B
56,D
57,A
58,D
59,B
60,B
61,C
62,D
63,D
64,A
65,D
66,D
67,D
68,C
69,D
70,D
71,D
72,D
73,A
74,C
75,B
76,D
77,A
78,D
79,D
80,D
81,D
82,D
83,D
84,D
85,D
86,C
87,B
88,B
89,A
90,B
91,B
92,B
93,B
94,D
95,D
96,B
97,D
98,D
99,D
100,A
101,B
102,D
103,A
104,B
105,A
106,B
107,A
108,B
109,A
110,B
111,B
112,D
113,C
114,C
115,A
116,A
117,A
118,B
119,B
120,C
