number,answer
1,B
2,D
3,A
4,D
5,B
6,B
7,D
8,B
9,B
10,C
11,B
12,A
13,B
14,B
15,B
16,C
17,C
18,D
19,A
20,B
21,B
22,B
23,D
24,D
25,B
26,C
27,D
28,C
29,C
30,D
31,C
32,C
33,D
34,C
35,A
36,D
37,A
38,C
39,B
40,D
41,C
42,B
43,C
44,C
45,D
46,C
47,A
48,C
49,C
50,D
51,A
52,B
53,A
54,A
55,A
56,D
57,B
58,C
59,C
60,C
61,B
62,C
63,B
64,C
65,B
66,A
67,B
68,B
69,D
70,B
71,C
72,B
73,A
74,B
75,D
76,B
77,B
78,B
79,B
80,C
81,D
82,A
83,B
84,A
85,A
86,C
87,B
88,C
89,B
90,A
91,A
92,A
93,A
94,A
95,A
96,B
97,B
98,D
99,B
100,C
101,C
102,D
103,D
104,B
105,D
106,B
107,D
108,D
109,A
110,D
111,A
112,B
113,A
114,A
115,C
116,A
117,C
118,B
119,B
120,A
