number,answer
1,B
2,A
3,A
4,C
5,B
6,C
7,D
8,B
9,D
10,D
11,B
12,C
13,D
14,D
15,C
16,B
17,B
18,C
19,C
20,D
21,A
22,C
23,C
24,C
25,B
26,D
27,D
28,D
29,B
30,C
31,B
32,A
33,C
34,B
35,ERROR
36,D
37,D
38,B
39,C
40,D
41,D
42,A
43,C
44,A
45,D
46,B
47,A
48,C
49,C
50,A
51,D
52,B
53,A
54,A
55,B
56,D
57,A
58,A
59,B
60,C
61,A
62,D
63,D
64,A
65,D
66,D
67,D
68,D
69,D
70,C
71,D
72,D
73,A
74,C
75,D
76,D
77,A
78,B
79,D
80,C
81,D
82,C
83,D
84,D
85,D
86,D
87,A
88,B
89,A
90,B
91,B
92,B
93,B
94,D
95,D
96,B
97,D
98,D
99,D
100,A
101,B
102,D
103,A
104,B
105,A
106,B
107,A
108,B
109,A
110,B
111,B
112,C
113,B
114,C
115,A
116,A
117,D
118,D
119,D
120,C
