number,answer
1,D
2,A
3,B
4,ERROR
5,A
6,C
7,D
8,D
9,B
10,ERROR
11,C
12,A
13,B
14,D
15,A
16,C
17,A
18,C
19,A
20,D
21,B
22,ERROR
23,D
24,ERROR
25,C
26,D
27,D
28,C
29,A
30,A
31,B
32,C
33,A
34,B
35,A
36,ERROR
37,ERROR
38,D
39,C
40,A
41,A
42,C
43,A
44,B
45,D
46,A
47,C
48,C
49,D
50,B
51,D
52,D
53,D
54,ERROR
55,D
56,C
57,A
58,ERROR
59,D
60,A
61,D
62,B
63,A
64,D
65,D
66,B
67,B
68,C
69,A
70,C
71,A
72,D
73,C
74,ERROR
75,B
76,C
77,ERROR
78,A
79,B
80,ERROR
81,C
82,B
83,D
84,D
85,B
86,B
87,A
88,D
89,B
90,D
91,B
92,D
93,B
94,D
95,A
96,C
97,C
98,B
99,B
100,A
101,A
102,ERROR
103,B
104,ERROR
105,ERROR
106,ERROR
107,ERROR
108,ERROR
109,ERROR
110,ERROR
111,ERROR
112,ERROR
113,ERROR
114,ERROR
115,ERROR
116,ERROR
117,ERROR
118,ERROR
119,ERROR
120,ERROR
