number,answer
1,D
2,B
3,A
4,C
5,B
6,C
7,C
8,B
9,D
10,D
11,B
12,D
13,D
14,C
15,C
16,B
17,B
18,C
19,C
20,B
21,A
22,D
23,C
24,A
25,B
26,D
27,C
28,D
29,B
30,C
31,B
32,A
33,C
34,D
35,A
36,C
37,D
38,A
39,C
40,D
41,D
42,A
43,A
44,A
45,A
46,C
47,A
48,A
49,C
50,A
51,D
52,C
53,A
54,A
55,B
56,D
57,A
58,D
59,B
60,B
61,C
62,D
63,D
64,A
65,D
66,D
67,D
68,C
69,D
70,D
71,ERROR
72,ERROR
73,ERROR
74,ERROR
75,ERROR
76,ERROR
77,ERROR
78,ERROR
79,ERROR
80,ERROR
81,ERROR
82,ERROR
83,ERROR
84,ERROR
85,ERROR
86,ERROR
87,ERROR
88,ERROR
89,ERROR
90,ERROR
91,ERROR
92,ERROR
93,ERROR
94,ERROR
95,ERROR
96,ERROR
97,ERROR
98,ERROR
99,ERROR
100,ERROR
101,ERROR
102,ERROR
103,ERROR
104,ERROR
105,ERROR
106,ERROR
107,ERROR
108,ERROR
109,ERROR
110,ERROR
111,ERROR
112,ERROR
113,ERROR
114,ERROR
115,ERROR
116,ERROR
117,ERROR
118,ERROR
119,ERROR
120,ERROR
