number,answer
1,C
2,A
3,C
4,D
5,B
6,B
7,D
8,C
9,C
10,A
11,B
12,B
13,B
14,B
15,A
16,D
17,A
18,A
19,C
20,D
21,B
22,C
23,B
24,D
25,C
26,B
27,C
28,D
29,B
30,D
31,B
32,D
33,C
34,D
35,D
36,A
37,A
38,D
39,B
40,A
41,B
42,D
43,A
44,A
45,D
46,B
47,A
48,C
49,C
50,B
51,C
52,B
53,C
54,B
55,D
56,C
57,B
58,B
59,C
60,C
61,B
62,C
63,A
64,C
65,A
66,C
67,B
68,A
69,C
70,C
71,C
72,B
73,C
74,B
75,D
76,C
77,A
78,C
79,A
80,B
81,C
82,A
83,A
84,D
85,B
86,D
87,B
88,B
89,D
90,D
91,D
92,C
93,B
94,D
95,D
96,D
97,C
98,B
99,B
100,A
101,A
102,A
103,A
104,B
105,B
106,B
107,C
108,C
109,A
110,B
111,C
112,C
113,B
114,C
115,D
116,B
117,C
118,A
119,D
120,B
