number,answer
1,D
2,A
3,C
4,A
5,A
6,C
7,D
8,B
9,B
10,C
11,C
12,A
13,B
14,D
15,A
16,C
17,A
18,C
19,A
20,D
21,D
22,D
23,D
24,C
25,C
26,D
27,D
28,C
29,A
30,A
31,B
32,C
33,B
34,B
35,A
36,B
37,A
38,D
39,C
40,D
41,A
42,C
43,A
44,B
45,D
46,A
47,B
48,C
49,D
50,B
51,D
52,D
53,D
54,C
55,D
56,C
57,A
58,B
59,D
60,A
61,D
62,B
63,A
64,C
65,D
66,B
67,B
68,C
69,A
70,C
71,C
72,A
73,C
74,D
75,C
76,C
77,C
78,A
79,B
80,C
81,C
82,D
83,D
84,D
85,B
86,B
87,A
88,D
89,B
90,D
91,B
92,D
93,B
94,D
95,A
96,B
97,C
98,B
99,B
100,A
101,A
102,C
103,B
104,A
105,B
106,C
107,B
108,A
109,B
110,B
111,A
112,B
113,A
114,C
115,D
116,B
117,A
118,D
119,C
120,C
