number,answer
1,D
2,C
3,A
4,D
5,B
6,D
7,D
8,C
9,A
10,A
11,B
12,B
13,B
14,D
15,A
16,D
17,A
18,A
19,C
20,B
21,B
22,A
23,B
24,D
25,C
26,B
27,A
28,B
29,C
30,D
31,B
32,D
33,A
34,D
35,B
36,A
37,A
38,A
39,A
40,A
41,B
42,D
43,A
44,A
45,D
46,B
47,A
48,B
49,C
50,B
51,B
52,A
53,C
54,C
55,A
56,A
57,C
58,C
59,B
60,B
61,B
62,D
63,D
64,D
65,B
66,B
67,D
68,A
69,B
70,ERROR
71,C
72,ERROR
73,ERROR
74,ERROR
75,ERROR
76,ERROR
77,A
78,ERROR
79,ERROR
80,ERROR
81,ERROR
82,ERROR
83,ERROR
84,ERROR
85,ERROR
86,ERROR
87,ERROR
88,ERROR
89,ERROR
90,ERROR
91,ERROR
92,ERROR
93,ERROR
94,ERROR
95,ERROR
96,ERROR
97,ERROR
98,ERROR
99,ERROR
100,ERROR
101,ERROR
102,ERROR
103,ERROR
104,ERROR
105,ERROR
106,ERROR
107,ERROR
108,ERROR
109,ERROR
110,ERROR
111,ERROR
112,ERROR
113,ERROR
114,ERROR
115,ERROR
116,ERROR
117,ERROR
118,ERROR
119,ERROR
120,ERROR
