number,answer
1,C
2,C
3,A
4,A
5,C
6,C
7,D
8,A
9,C
10,B
11,B
12,A
13,B
14,C
15,C
16,B
17,B
18,C
19,C
20,B
21,A
22,C
23,C
24,A
25,B
26,C
27,A
28,C
29,B
30,C
31,B
32,A
33,C
34,A
35,C
36,C
37,C
38,B
39,B
40,B
41,C
42,A
43,A
44,C
45,B
46,C
47,C
48,C
49,B
50,A
51,B
52,B
53,A
54,A
55,C
56,B
57,A
58,D
59,C
60,B
61,C
62,C
63,B
64,C
65,B
66,C
67,C
68,C
69,A
70,D
71,C
72,C
73,A
74,B
75,A
76,C
77,A
78,B
79,B
80,C
81,B
82,C
83,C
84,C
85,A
86,C
87,C
88,B
89,A
90,B
91,B
92,B
93,D
94,C
95,B
96,B
97,B
98,D
99,C
100,A
101,B
102,C
103,C
104,B
105,A
106,B
107,B
108,B
109,B
110,A
111,D
112,B
113,A
114,B
115,B
116,C
117,B
118,B
119,B
120,B
