number,answer
1,C
2,A
3,B
4,A
5,D
6,B
7,D
8,B
9,B
10,C
11,C
12,A
13,B
14,D
15,A
16,C
17,A
18,C
19,A
20,D
21,B
22,B
23,D
24,C
25,C
26,D
27,D
28,C
29,A
30,A
31,B
32,C
33,A
34,B
35,A
36,B
37,C
38,C
39,C
40,A
41,B
42,C
43,A
44,B
45,C
46,A
47,C
48,D
49,D
50,B
51,B
52,A
53,D
54,A
55,D
56,C
57,C
58,B
59,D
60,A
61,D
62,B
63,A
64,C
65,D
66,B
67,B
68,C
69,A
70,C
71,A
72,A
73,D
74,A
75,B
76,C
77,D
78,A
79,B
80,A
81,C
82,B
83,D
84,D
85,B
86,B
87,A
88,D
89,B
90,B
91,B
92,D
93,B
94,D
95,A
96,C
97,C
98,B
99,B
100,A
101,A
102,C
103,B
104,A
105,B
106,C
107,B
108,A
109,D
110,A
111,A
112,B
113,A
114,A
115,B
116,C
117,B
118,A
119,D
120,C
