model,effort,score,avg points,area 1,area 2,area 3,area 4,Biología,Español,Filosofía,Física,Geografía,Historia Universal,Historia de México,Literatura,Matemáticas,Química
apple-foundation-system,none,67.08,80.5,71.0,79.0,84.0,88.0,86.0,63.9,90.0,52.1,80.0,86.4,54.5,82.5,46.9,76.7
deepseek-v4-flash,medium,92.1,110.5,111.0,111.0,113.0,107.0,97.7,80.6,80.0,89.6,100.0,97.7,86.4,97.5,94.8,93.0
gemma-4-e2b,none,83.55,100.25,101.0,97.0,98.0,105.0,95.3,76.4,80.0,81.3,87.5,90.9,56.8,82.5,89.6,90.7
gemma-4-e4b,none,87.9,105.5,111.0,103.0,103.0,105.0,93.0,76.4,80.0,93.8,90.0,100.0,68.2,92.5,89.6,95.3
gpt-oss-120b,medium,90.2,108.25,112.0,106.0,107.0,108.0,97.7,73.6,80.0,89.6,97.5,100.0,84.1,92.5,92.7,95.3
gpt-oss-20b,low,86.88,104.25,104.0,97.0,106.0,110.0,97.7,73.6,80.0,95.8,95.0,97.7,56.8,90.0,90.6,90.7
gpt-oss-20b,medium,88.78,106.5,108.0,101.0,107.0,110.0,97.7,70.8,80.0,87.5,97.5,100.0,70.5,95.0,92.7,97.7
grok-4.5,high,92.5,111.0,110.0,112.0,114.0,108.0,97.7,83.3,90.0,89.6,97.5,97.7,90.9,97.5,92.7,93.0
hy3-preview,medium,90.63,108.75,109.0,111.0,108.0,107.0,97.7,77.8,80.0,83.3,97.5,97.7,88.6,97.5,92.7,93.0
laguna-s-2.1,medium,87.9,105.5,109.0,103.0,102.0,108.0,97.7,70.8,80.0,85.4,97.5,95.5,72.7,95.0,92.7,93.0
laguna-xs-2.1,high,76.05,91.25,95.0,89.0,82.0,99.0,90.7,72.2,80.0,70.8,82.5,93.2,63.6,82.5,70.8,67.4
laguna-xs-2.1,low,76.05,91.25,95.0,89.0,82.0,99.0,90.7,72.2,80.0,70.8,82.5,93.2,63.6,82.5,70.8,67.4
laguna-xs-2.1,medium,75.63,90.75,95.0,87.0,82.0,99.0,90.7,72.2,80.0,68.8,80.0,93.2,63.6,82.5,70.8,67.4
llama-3-8b-instruct-32k-v0.1,medium,60.33,72.38,65.0,74.0,73.0,77.5,76.7,55.6,100.0,56.3,75.0,86.4,52.3,82.5,30.2,61.6
mimo-v2.5,medium,91.03,109.25,109.0,108.0,109.0,111.0,95.3,86.1,80.0,83.3,97.5,97.7,86.4,92.5,91.7,95.3
minimax-m3,medium,87.1,104.5,105.0,101.0,108.0,104.0,97.7,72.2,90.0,85.4,92.5,93.2,81.8,87.5,90.6,88.4
phi-4,low,77.28,92.75,94.0,91.0,92.0,94.0,90.7,73.6,70.0,58.3,82.5,95.5,75.0,92.5,68.8,76.7
phi-4,medium,77.28,92.75,94.0,91.0,92.0,94.0,90.7,73.6,70.0,58.3,82.5,95.5,75.0,92.5,68.8,76.7
phi-4,high,77.5,93.0,94.0,91.0,92.0,95.0,90.7,73.6,70.0,58.3,82.5,95.5,75.0,92.5,68.8,79.1
qwen3.5-0.8b,high,49.18,59.0,64.0,50.0,59.0,63.0,67.4,47.2,70.0,37.5,37.5,72.7,29.5,67.5,40.6,51.2
qwen3.5-0.8b,medium,49.08,58.88,64.0,50.5,59.0,62.0,67.4,47.2,70.0,38.5,37.5,70.5,29.5,67.5,40.6,51.2
qwen3.5-0.8b-mlx,none,48.33,58.0,63.0,52.0,55.0,62.0,69.8,47.2,70.0,37.5,35.0,75.0,29.5,65.0,37.5,48.8
qwen3.5-9b,none,80.8,97.0,97.0,100.0,94.0,97.0,90.7,76.4,90.0,70.8,92.5,97.7,63.6,95.0,70.8,86.0
qwen3.6-35b-a3b,medium,91.65,110.0,112.0,112.0,106.0,110.0,97.7,83.3,80.0,89.6,95.0,100.0,81.8,97.5,92.7,95.3
